acte_classant,Classification
HMFC004,Gynécologie-obstétrique
FCFA009,Chirurgie thoracique
JDDB007,Gynécologie-Obstétrique
JGFE023,Urologie
LFAA002,Chirurgie digestive ; Chirurgie du rachis
JCAE001,Urologie
DELF005,Cardiologie ; Chirurgie vasculaire
FCCA001,Chirurgie digestive ; Chirurgie vasculaire
NHDA009,Chirurgie digestive ; Chirurgie du rachis ; Chirurgie orthopédique et traumatologique
DEKA001,Chirurgie digestive
EBFA002,Chirurgie vasculaire
FCCA001,Chirurgie digestive ; Chirurgie vasculaire
JJFC010,Gynécologie-Obstétrique
DELF005,Cardiologie ; Chirurgie vasculaire
HMFC004,Gynécologie-obstétrique
JKFA027,Chirurgie digestive ; Gynécologie-Obstétrique
QZMA001,Ophtalmologie
QZFA038,Ophtalmologie
JKDC001,Gynécologie-Obstétrique
NEKA020,Chirurgie orthopédique et traumatologique ; Chirurgie vasculaire
JCAE001,Urologie
HHFA002,Chirurgie générale
HFFC018,Chirurgie digestive
QEFA020,Oto-rhino-laryngologie (ORL)
JDFE001,Urologie
JGFA005,Urologie
QEGA004,Oto-rhino-laryngologie (ORL)
JJFC003,Urologie
JCAE001,Urologie
JDFE001,Urologie
JANE005,Urologie
HMFC004,Gynécologie-obstétrique
NEKA009,Chirurgie orthopédique et traumatologique ; Chirurgie vasculaire
JFFC001,Chirurgie digestive ; Gynécologie-Obstétrique
JKDC001,Gynécologie-Obstétrique
JJFC006,Gynécologie-Obstétrique
HHCC007,Chirurgie générale
JKFC002,Chirurgie digestive ; Gynécologie-Obstétrique
NEKA020,Chirurgie orthopédique et traumatologique ; Chirurgie vasculaire
JKDC001,Gynécologie-Obstétrique
NEKA005,Chirurgie orthopédique et traumatologique ; Chirurgie vasculaire
HHFA016,Chirurgie digestive
KDQA001,Chirurgie endocrinienne
KCFA005,Chirurgie endocrinienne
LFAA002,Chirurgie digestive ; Chirurgie du rachis
JGFE023,Urologie
JCGE005,Chirurgie vasculaire ; Urologie
JDFE001,Urologie
LFFA002,Chirurgie digestive ; Chirurgie du rachis
MJFA013,Chirurgie digestive ; Chirurgie du rachis ; Chirurgie orthopédique et traumatologique
LMMC002,Chirurgie digestive ; Chirurgie orthopédique et traumatologique
GDFA008,ORL et chirurgie cervico-faciale
EDFA007,Chirurgie vasculaire
JEMA023,Urologie
HPPC002,Stomatologie
FCPA001,Chirurgie digestive
DELF005,Cardiologie ; Chirurgie vasculaire
JKFA015,Chirurgie digestive ; Gynécologie-Obstétrique
JCPD001,Urologie
JCGE006,Urologie
JKFA022,Gynécologie-Obstétrique
MACA001,Chirurgie orthopédique et traumatologique
BAMA004,Ophtalmologie
LFAA002,Chirurgie digestive ; Chirurgie du rachis
JJFC010,Gynécologie-Obstétrique
JKFA022,Gynécologie-Obstétrique
GFFA029,Chirurgie thoracique
LMMA004,Chirurgie digestive ; Chirurgie orthopédique et traumatologique
FCPA001,Chirurgie digestive
JCGE006,Urologie
JCFE003,Chirurgie vasculaire ; Urologie
QEFA020,Oto-rhino-laryngologie (ORL)
JDFE002,Urologie
JANE005,Urologie
JGFE023,Urologie
BFGA427,Ophtalmologie
JBMC001,Urologie
HMFC004,Gynécologie-obstétrique
HMFC004,Gynécologie-obstétrique
ZCJC001,Chirurgie générale
NEKA011,Chirurgie orthopédique et traumatologique ; Chirurgie vasculaire
HHFA008,Chirurgie générale
LFAA002,Chirurgie digestive ; Chirurgie du rachis
GHFA001,Chirurgie thoracique
MAFA004,Chirurgie orthopédique et traumatologique
GHFA001,Chirurgie thoracique
JDDB007,Gynécologie-Obstétrique
JDDB007,Gynécologie-Obstétrique
LDFA008,Chirurgie digestive ; Chirurgie du rachis ; Chirurgie orthopédique et traumatologique
